-1222387.957420	1108834.414807	-1219391.180618	1108928.907769
-1232471.706390	1107444.018362	-1230568.348150	1108064.972114
-1232990.191786	1089658.105619	-1230834.109607	1091035.146733
-1241034.087167	1121684.060598	-1239531.680568	1122036.431530
-1241936.565110	1121663.032826	-1240517.107174	1121995.934546
-1232369.529232	1128990.396605	-1230554.849156	1128866.922800
-1233830.328454	1113345.667922	-1232093.734541	1113775.046832
-1247672.098166	1103653.613120	-1246168.123790	1104681.786591
-1242682.990922	1110533.170811	-1241095.404103	1111314.990055
-1252345.912958	1108889.958379	-1251160.254480	1109682.151668
-1249453.310575	1087967.546412	-1247794.015595	1089648.174984
-1239969.531997	1092068.850447	-1237941.002240	1093524.135905
